xp_per_min,tower_damage,sen_placed,sen_destroyed,obs_placed,obs_destroyed,lh50,lh40,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,camps_stacked,buybacks,assists,match_id,start_time,win,hero_id,account_id,leaguename
408,205,33,9,22,6,83,62,45,17,5,83,5,0,6381,265,4,6,19725,6381,3,2,16,4967996576,1565860744,true,79,87278757,The International 2019
407,114,55,3,30,2,85,57,37,18,7,102,2,0,17957,355,1,17,29480,17957,1,5,18,4969319314,1565929468,true,5,6922000,The International 2019
406,0,55,4,30,8,38,27,15,13,3,62,1,2389,20709,272,4,14,31310,20709,1,3,24,4971157392,1566019029,true,103,6922000,The International 2019
400,35,25,10,20,6,114,93,64,33,9,120,1,1522,8319,307,5,12,22033,8319,2,2,12,4969499647,1565940546,false,20,134556694,The International 2019
399,0,42,12,20,3,59,36,29,15,4,78,1,1400,15756,346,4,5,15787,15756,6,3,18,4977018128,1566285647,false,68,173476224,The International 2019
395,728,35,8,24,4,38,29,19,15,6,40,3,400,18548,243,0,9,17241,18548,3,2,20,4985787596,1566708166,true,103,82262664,The International 2019
395,135,59,11,31,12,25,21,13,10,5,38,0,0,6156,251,1,17,39343,6156,2,5,17,4981810133,1566530474,false,3,119576842,The International 2019
394,60,49,8,24,6,20,14,9,8,3,28,0,400,3631,223,1,9,20340,3631,0,2,23,4969186537,1565918170,false,79,145550466,The International 2019
386,0,29,2,19,3,93,59,44,32,21,100,1,800,7082,228,2,8,20122,7082,3,2,16,4970995519,1566009762,false,79,87278757,The International 2019
385,386,49,11,22,4,31,28,26,15,1,47,2,0,15158,247,0,6,16880,15158,1,4,25,4969752692,1565953082,true,103,94155156,The International 2019
370,286,43,7,18,4,35,32,21,13,5,39,3,0,13459,257,3,6,17277,13459,5,2,23,4973234250,1566108686,false,103,145550466,The International 2019
359,1294,33,6,25,6,48,40,27,16,12,66,2,1098,18202,329,2,8,15372,18202,4,2,23,4968129116,1565867164,true,75,87382579,The International 2019
354,466,49,11,24,9,53,34,20,11,6,53,3,2890,9598,333,1,8,12381,9598,0,1,12,4980333085,1566456722,true,30,91443418,The International 2019
353,43,68,12,34,8,35,29,24,13,5,45,5,2405,9170,282,0,16,30642,9170,12,5,16,4976922218,1566279195,false,30,143693439,The International 2019
352,943,39,6,20,1,52,34,21,6,2,59,6,250,11867,308,4,8,24951,11867,5,1,13,4967893095,1565855348,false,64,6922000,The International 2019
347,939,47,6,26,7,91,74,59,37,9,105,5,370,16307,316,4,9,18432,16307,2,3,19,4985787596,1566708166,false,64,94296097,The International 2019
306,198,36,3,23,3,39,32,21,16,1,39,1,365,6380,201,9,13,25052,6380,3,1,10,4985705053,1566703068,false,79,82262664,The International 2019
303,452,43,6,19,5,31,25,20,10,3,36,1,0,9816,245,3,7,16886,9816,0,1,15,4967600837,1565834467,false,68,397462905,The International 2019
301,0,41,12,20,2,29,27,20,13,3,33,6,0,21541,265,10,8,17714,21541,3,1,18,4969288250,1565927125,false,68,54580962,The International 2019
292,0,33,8,19,5,39,29,16,14,4,39,1,0,7681,242,4,10,26414,7681,1,4,5,4971493281,1566032942,false,84,143693439,The International 2019
278,479,41,6,16,3,32,29,26,9,2,39,3,0,15152,248,4,15,28383,15152,3,3,15,4981912277,1566537766,false,75,119631156,The International 2019
273,0,38,4,24,4,27,23,20,18,5,31,3,0,11329,300,9,9,16128,11329,4,1,18,4970923784,1566004617,false,68,54580962,The International 2019
230,97,43,10,16,3,20,18,14,4,1,30,2,0,13808,183,2,7,14522,13808,2,1,11,4968187584,1565869570,false,103,145550466,The International 2019
